,0,1
206,[0.17757821 0.17757821 0.17757821 ... 0.23957106 0.23957106 0.23957106],"('DB00890',)"
207,[0.17455706 0.17455706 0.17455706 ... 0.23815742 0.23815742 0.23815742],"('DB05351',)"
208,[0.19473445 0.19473445 0.19473445 ... 0.25456753 0.25456753 0.25456753],"('DB01074',)"
209,[0.16562983 0.16562983 0.16562983 ... 0.22031641 0.22031641 0.22031641],"('DB00757',)"
210,[0.16691458 0.16691458 0.16691458 ... 0.22160229 0.22160229 0.22160229],"('DB01124',)"
211,[0.17564654 0.17564654 0.17564654 ... 0.23613924 0.23613924 0.23613924],"('DB00977',)"
212,[0.15400615 0.15400615 0.15400615 ... 0.20372862 0.20372862 0.20372862],"('DB00724',)"
213,[0.17124316 0.17124316 0.17124316 ... 0.22551975 0.22551975 0.22551975],"('DB07615',)"
214,[0.19133636 0.19133636 0.19133636 ... 0.25267428 0.25267428 0.25267428],"('DB00794',)"
215,[0.17373005 0.17373005 0.17373005 ... 0.22939113 0.22939113 0.22939113],"('DB00799',)"
216,[0.19110781 0.19110781 0.19110781 ... 0.25330576 0.25330576 0.25330576],"('DB00796',)"
217,[0.16005139 0.16005139 0.16005139 ... 0.20997846 0.20997846 0.20997846],"('DB01095',)"
218,[0.21577206 0.21577206 0.21577206 ... 0.29023755 0.29023755 0.29023755],"('DB00234',)"
219,[0.17827873 0.17827873 0.17827873 ... 0.24020275 0.24020275 0.24020275],"('DB00726',)"
220,[0.19645435 0.19645435 0.19645435 ... 0.2601805  0.2601805  0.2601805 ],"('DB00918',)"
221,[0.18234584 0.18234584 0.18234584 ... 0.24600783 0.24600783 0.24600783],"('DB00250',)"
222,[0.1888248  0.1888248  0.1888248  ... 0.25022694 0.25022694 0.25022694],"('DB00227',)"
223,[0.15937352 0.15937352 0.15937352 ... 0.20399332 0.20399332 0.20399332],"('DB00246',)"
224,[0.19212505 0.19212505 0.19212505 ... 0.2542396  0.2542396  0.2542396 ],"('DB00238',)"
225,[0.16522878 0.16522878 0.16522878 ... 0.22056603 0.22056603 0.22056603],"('DB01069',)"
226,[0.19916609 0.19916609 0.19916609 ... 0.2634558  0.2634558  0.2634558 ],"('DB01129',)"
227,[0.1796423  0.1796423  0.1796423  ... 0.24603906 0.24603906 0.24603906],"('DB00184',)"
228,[0.16691664 0.16691664 0.16691664 ... 0.22287115 0.22287115 0.22287115],"('DB04930',)"
229,[0.16725317 0.16725317 0.16725317 ... 0.21934524 0.21934524 0.21934524],"('DB13874',)"
230,[0.17138955 0.17138955 0.17138955 ... 0.23439568 0.23439568 0.23439568],"('DB01175',)"
231,[0.18275738 0.18275738 0.18275738 ... 0.24313065 0.24313065 0.24313065],"('DB09396',)"
232,[0.1730768 0.1730768 0.1730768 ... 0.2308037 0.2308037 0.2308037],"('DB01067',)"
233,[0.21159247 0.21159247 0.21159247 ... 0.28414503 0.28414503 0.28414503],"('DB01054',)"
234,[0.1591001  0.1591001  0.1591001  ... 0.20521379 0.20521379 0.20521379],"('DB04938',)"
235,[0.20335925 0.20335925 0.20335925 ... 0.26613593 0.26613593 0.26613593],"('DB00337',)"
236,[0.16906358 0.16906358 0.16906358 ... 0.23239568 0.23239568 0.23239568],"('DB00624',)"
237,[0.19418734 0.19418734 0.19418734 ... 0.25594294 0.25594294 0.25594294],"('DB01050',)"
238,[0.17442428 0.17442428 0.17442428 ... 0.23148581 0.23148581 0.23148581],"('DB00628',)"
239,[0.1575313 0.1575313 0.1575313 ... 0.2048105 0.2048105 0.2048105],"('DB01588',)"
240,[0.20034698 0.20034698 0.20034698 ... 0.2683224  0.2683224  0.2683224 ],"('DB01229',)"
241,[0.18482679 0.18482679 0.18482679 ... 0.24907038 0.24907038 0.24907038],"('DB09262',)"
242,[0.22916457 0.22916457 0.22916457 ... 0.30736926 0.30736926 0.30736926],"('DB00778',)"
243,[0.19023496 0.19023496 0.19023496 ... 0.25618288 0.25618288 0.25618288],"('DB09101',)"
244,[0.18908599 0.18908599 0.18908599 ... 0.24726292 0.24726292 0.24726292],"('DB00617',)"
245,[0.18445212 0.18445212 0.18445212 ... 0.24651226 0.24651226 0.24651226],"('DB01418',)"
246,[0.17893416 0.17893416 0.17893416 ... 0.23176008 0.23176008 0.23176008],"('DB00612',)"
247,[0.19384137 0.19384137 0.19384137 ... 0.26212987 0.26212987 0.26212987],"('DB06267',)"
248,[0.1445151  0.1445151  0.1445151  ... 0.18995947 0.18995947 0.18995947],"('DB00637',)"
249,[0.17329836 0.17329836 0.17329836 ... 0.22852466 0.22852466 0.22852466],"('DB00636',)"
250,[0.17482507 0.17482507 0.17482507 ... 0.2370618  0.2370618  0.2370618 ],"('DB00753',)"
251,[0.17007837 0.17007837 0.17007837 ... 0.22903922 0.22903922 0.22903922],"('DB01319',)"
252,[0.14634863 0.14634863 0.14634863 ... 0.19324182 0.19324182 0.19324182],"('DB01283',)"
253,[0.19469431 0.19469431 0.19469431 ... 0.2587854  0.2587854  0.2587854 ],"('DB00175',)"
254,[0.18311185 0.18311185 0.18311185 ... 0.24547926 0.24547926 0.24547926],"('DB01128',)"
255,[0.18076679 0.18076679 0.18076679 ... 0.23757926 0.23757926 0.23757926],"('DB00783',)"
256,[0.1674375  0.1674375  0.1674375  ... 0.22096303 0.22096303 0.22096303],"('DB00751',)"
257,[0.17229909 0.17229909 0.17229909 ... 0.22783625 0.22783625 0.22783625],"('DB00925',)"
258,[0.1956177  0.1956177  0.1956177  ... 0.26393458 0.26393458 0.26393458],"('DB01248',)"
259,[0.16638999 0.16638999 0.16638999 ... 0.22860438 0.22860438 0.22860438],"('DB01587',)"
260,[0.22159511 0.22159511 0.22159511 ... 0.2946922  0.2946922  0.2946922 ],"('DB00185',)"
261,[0.20833752 0.20833752 0.20833752 ... 0.27849826 0.27849826 0.27849826],"('DB00938',)"
262,[0.17352429 0.17352429 0.17352429 ... 0.22316241 0.22316241 0.22316241],"('DB04898',)"
263,[0.14713469 0.14713469 0.14713469 ... 0.1950877  0.1950877  0.1950877 ],"('DB00613',)"
264,[0.17121527 0.17121527 0.17121527 ... 0.22741273 0.22741273 0.22741273],"('DB00615',)"
265,[0.16502875 0.16502875 0.16502875 ... 0.22410887 0.22410887 0.22410887],"('DB11737',)"
266,[0.1957353  0.1957353  0.1957353  ... 0.26279384 0.26279384 0.26279384],"('DB01186',)"
